iter	Passed	Remaining
0	44	44435
1	65	32899
2	90	30015
3	115	28733
4	141	28062
5	162	26949
6	191	27175
7	226	28091
8	257	28311
9	288	28592
10	320	28841
11	347	28570
12	374	28410
13	404	28486
14	439	28853
15	468	28838
16	490	28373
17	512	27986
18	536	27696
19	557	27334
20	585	27284
21	623	27697
22	649	27605
23	672	27364
24	705	27518
25	731	27417
26	754	27193
27	782	27163
28	809	27117
29	833	26946
30	854	26723
31	876	26515
32	903	26479
33	933	26527
34	958	26439
35	986	26420
36	1008	26254
37	1032	26138
38	1054	25974
39	1076	25841
40	1103	25803
41	1126	25704
42	1151	25618
43	1178	25609
44	1205	25590
45	1229	25501
46	1251	25385
47	1274	25285
48	1300	25241
49	1322	25122
50	1346	25051
51	1371	24997
52	1401	25046
53	1430	25059
54	1452	24960
55	1485	25038
56	1513	25032
57	1533	24909
58	1556	24825
59	1584	24820
60	1617	24902
61	1647	24919
62	1668	24814
63	1690	24724
64	1716	24695
65	1739	24611
66	1761	24532
67	1783	24438
68	1810	24429
69	1833	24354
70	1859	24337
71	1887	24331
72	1911	24271
73	1937	24245
74	1960	24179
75	1981	24093
76	2005	24040
77	2031	24017
78	2059	24004
79	2086	23997
80	2110	23940
81	2138	23937
82	2160	23873
83	2183	23810
84	2207	23762
85	2237	23775
86	2259	23716
87	2286	23695
88	2314	23687
89	2340	23665
90	2361	23586
91	2384	23532
92	2408	23485
93	2434	23464
94	2456	23404
95	2478	23336
96	2506	23330
97	2536	23348
98	2561	23313
99	2585	23272
100	2607	23210
101	2636	23211
102	2657	23146
103	2680	23095
104	2704	23048
105	2735	23070
106	2767	23094
107	2789	23037
108	2811	22982
109	2837	22960
110	2859	22898
111	2882	22853
112	2903	22794
113	2924	22732
114	2953	22731
115	2981	22721
116	3006	22689
117	3030	22651
118	3056	22624
119	3080	22586
120	3101	22529
121	3124	22484
122	3151	22470
123	3174	22427
124	3204	22429
125	3230	22405
126	3255	22379
127	3280	22348
128	3302	22297
129	3322	22236
130	3345	22192
131	3369	22156
132	3395	22133
133	3420	22104
134	3449	22099
135	3473	22069
136	3495	22020
137	3516	21967
138	3539	21926
139	3566	21906
140	3589	21867
141	3612	21829
142	3636	21796
143	3666	21794
144	3687	21744
145	3716	21737
146	3739	21698
147	3762	21658
148	3788	21639
149	3809	21588
150	3832	21548
151	3861	21540
152	3887	21519
153	3909	21476
154	3930	21428
155	3953	21387
156	3978	21360
157	3999	21312
158	4022	21277
159	4046	21243
160	4074	21231
161	4105	21238
162	4128	21198
163	4151	21162
164	4173	21121
165	4197	21090
166	4222	21059
167	4243	21017
168	4269	20992
169	4299	20991
170	4324	20965
171	4346	20922
172	4369	20886
173	4393	20854
174	4419	20836
175	4442	20797
176	4464	20758
177	4488	20727
178	4517	20721
179	4540	20683
180	4561	20642
181	4584	20605
182	4609	20580
183	4636	20561
184	4659	20526
185	4683	20496
186	4712	20489
187	4742	20483
188	4765	20449
189	4787	20411
190	4810	20373
191	4837	20359
192	4858	20314
193	4881	20281
194	4904	20246
195	4934	20240
196	4960	20219
197	4985	20195
198	5006	20152
199	5032	20131
200	5053	20089
201	5077	20058
202	5100	20023
203	5122	19988
204	5151	19979
205	5178	19960
206	5204	19939
207	5230	19914
208	5254	19888
209	5278	19858
210	5300	19819
211	5322	19784
212	5346	19755
213	5374	19740
214	5456	19921
215	5551	20149
216	5648	20379
217	5729	20553
218	5880	20970
219	6052	21458
220	6140	21644
221	6206	21750
222	6238	21736
223	6310	21863
224	6340	21839
225	6385	21867
226	6425	21881
227	6470	21907
228	6517	21942
229	6552	21936
230	6575	21888
231	6686	22133
232	6725	22138
233	6747	22089
234	6770	22039
235	6792	21987
236	6820	21958
237	6841	21905
238	6867	21868
239	6888	21814
240	6918	21787
241	6948	21765
242	6970	21714
243	6992	21664
244	7016	21623
245	7041	21581
246	7064	21536
247	7087	21490
248	7109	21442
249	7137	21413
250	7164	21378
251	7188	21338
252	7213	21297
253	7239	21261
254	7263	21221
255	7285	21173
256	7307	21127
257	7330	21083
258	7357	21048
259	7384	21016
260	7409	20979
261	7432	20936
262	7457	20896
263	7479	20852
264	7500	20802
265	7522	20757
266	7548	20722
267	7569	20674
268	7597	20645
269	7628	20624
270	7651	20582
271	7674	20541
272	7696	20496
273	7717	20449
274	7741	20408
275	7767	20374
276	7795	20346
277	7823	20317
278	7846	20276
279	7873	20245
280	7894	20200
281	7915	20152
282	7938	20113
283	7965	20081
284	7988	20042
285	8013	20004
286	8039	19973
287	8065	19940
288	8091	19906
289	8112	19862
290	8135	19821
291	8159	19783
292	8185	19750
293	8207	19708
294	8229	19668
295	8258	19642
296	8287	19615
297	8308	19573
298	8340	19554
299	8362	19512
300	8390	19484
301	8412	19442
302	8435	19404
303	8459	19368
304	8492	19351
305	8514	19311
306	8537	19271
307	8558	19228
308	8581	19189
309	8609	19162
310	8632	19125
311	8654	19083
312	8677	19046
313	8706	19021
314	8734	18994
315	8757	18957
316	8798	18956
317	8830	18938
318	8855	18905
319	8886	18884
320	8922	18874
321	8955	18857
322	8983	18829
323	9011	18801
324	9034	18763
325	9054	18720
326	9080	18688
327	9102	18649
328	9130	18621
329	9152	18582
330	9177	18548
331	9203	18516
332	9232	18493
333	9257	18459
334	9280	18421
335	9302	18382
336	9331	18358
337	9352	18317
338	9392	18314
339	9420	18286
340	9446	18255
341	9467	18215
342	9491	18180
343	9514	18143
344	9542	18116
345	9563	18076
346	9587	18042
347	9611	18007
348	9640	17983
349	9664	17948
350	9693	17923
351	9715	17884
352	9739	17851
353	9768	17825
354	9791	17791
355	9813	17752
356	9838	17719
357	9864	17690
358	9971	17803
359	10058	17882
360	10124	17921
361	10151	17890
362	10180	17865
363	10210	17839
364	10233	17804
365	10256	17766
366	10282	17734
367	10304	17697
368	10326	17658
369	10353	17629
370	10378	17595
371	10405	17565
372	10426	17526
373	10448	17487
374	10471	17453
375	10496	17420
376	10519	17383
377	10540	17344
378	10562	17307
379	10590	17279
380	10622	17258
381	10648	17227
382	10670	17189
383	10698	17162
384	10720	17125
385	10742	17087
386	10764	17051
387	10787	17014
388	10814	16985
389	10835	16947
390	10857	16910
391	10886	16884
392	10916	16860
393	10937	16822
394	10960	16787
395	10982	16750
396	11003	16712
397	11030	16684
398	11052	16647
399	11078	16617
400	11105	16589
401	11131	16559
402	11163	16537
403	11186	16502
404	11209	16468
405	11231	16431
406	11258	16403
407	11280	16368
408	11303	16332
409	11330	16305
410	11360	16281
411	11382	16244
412	11402	16207
413	11426	16173
414	11448	16138
415	11475	16109
416	11497	16074
417	11520	16039
418	11547	16012
419	11581	15992
420	11605	15961
421	11627	15925
422	11647	15888
423	11671	15855
424	11695	15823
425	11716	15787
426	11742	15757
427	11774	15736
428	11797	15703
429	11820	15669
430	11843	15636
431	11875	15614
432	11901	15584
433	11924	15551
434	11945	15514
435	11974	15490
436	12001	15462
437	12024	15429
438	12046	15393
439	12077	15371
440	12106	15345
441	12127	15310
442	12157	15286
443	12179	15251
444	12212	15231
445	12239	15203
446	12260	15167
447	12284	15136
448	12307	15103
449	12333	15073
450	12356	15041
451	12376	15005
